t,ABS_RX,ABS_RY,ABS_RZ,ABS_X,ABS_Y,ABS_Z
1654431124.6255202,126,126,0,135,0,0
1654431124.6613371,127,126,0,136,0,0
1654431124.7013118,126,126,0,136,0,0
1654431124.7374055,127,126,0,136,0,0
1654431124.7733343,126,125,0,137,0,0
1654431124.8093636,125,126,0,136,0,0
1654431124.8573205,126,125,0,136,0,0
1654431124.8931608,126,126,0,135,0,0
1654431124.929429,127,126,0,136,0,0
1654431124.965406,127,126,0,136,0,0
1654431125.001175,126,126,0,136,0,0
1654431125.0371246,126,125,0,136,0,0
1654431125.0732074,126,126,0,135,0,0
1654431125.1091304,126,126,0,135,0,0
1654431125.1451232,126,126,0,136,0,0
1654431125.1812441,126,126,0,136,0,0
1654431125.2170763,126,125,0,136,0,0
1654431125.253075,125,125,0,135,0,0
1654431125.2931015,126,126,0,135,0,0
1654431125.3291783,127,125,0,135,0,0
1654431125.3651533,126,125,0,136,0,0
1654431125.4011397,126,126,0,136,0,0
1654431125.4372468,126,126,0,136,0,0
1654431125.4731777,126,125,0,135,0,0
1654431125.5092504,126,126,0,135,0,0
1654431125.545182,127,126,0,136,0,0
1654431125.5891047,127,126,0,136,0,0
1654431125.6251528,127,126,0,135,0,0
1654431125.661238,127,127,0,136,0,0
1654431125.7012098,127,125,0,136,0,0
1654431125.7372308,126,125,0,135,0,0
1654431125.7732077,126,125,0,136,0,0
1654431125.8091955,125,126,0,136,0,0
1654431125.8453522,126,126,0,136,0,0
1654431125.8852878,126,126,0,136,0,0
1654431125.929249,125,126,0,136,0,0
1654431125.9692767,126,126,0,136,0,0
1654431126.0052395,127,125,0,136,0,0
1654431126.0412095,125,126,0,137,0,0
1654431126.077269,125,126,0,136,0,0
1654431126.1133127,126,126,0,136,0,0
1654431126.149683,127,126,0,136,0,0
1654431126.1852338,126,126,0,135,0,0
1654431126.2214067,127,126,0,136,0,0
1654431126.2573848,125,126,0,136,0,0
1654431126.2933724,126,126,0,136,0,0
1654431126.3293784,127,125,0,135,0,0
1654431126.3653011,126,125,0,136,0,0
1654431126.401314,126,125,0,136,0,0
1654431126.4373481,126,125,0,136,0,0
1654431126.4853659,126,126,0,135,0,0
1654431126.5254166,126,125,0,136,0,0
1654431126.5614262,127,126,0,136,0,0
1654431126.5974352,126,126,0,136,0,0
1654431126.633393,126,126,0,136,0,0
1654431126.6692832,126,126,0,136,0,0
1654431126.705428,126,126,0,136,0,0
1654431126.7414556,125,126,0,135,0,0
1654431126.777286,126,126,0,135,0,0
1654431126.8174112,126,126,0,135,0,0
1654431126.8535736,127,126,0,136,0,0
1654431126.8894138,127,125,0,136,0,0
1654431126.9253528,126,126,0,136,0,0
1654431126.9612885,126,126,0,136,0,0
1654431126.9973202,126,126,0,135,0,0
1654431127.033365,127,126,0,135,0,0
1654431127.0692632,126,126,0,136,0,0
1654431127.105375,126,126,0,136,0,0
1654431127.1412873,126,126,0,136,0,0
1654431127.177356,126,126,0,135,0,0
1654431127.2133765,127,126,0,136,0,0
1654431127.2493868,126,126,0,136,0,0
1654431127.2854164,126,126,0,136,0,0
1654431127.3214827,126,126,0,136,0,0
1654431127.357344,126,125,0,136,0,0
1654431127.3933938,126,126,0,135,0,0
1654431127.4334838,126,126,0,135,0,0
1654431127.4694343,126,126,0,135,0,0
1654431127.5053823,127,125,0,136,0,0
1654431127.5454078,126,126,0,136,0,0
1654431127.5853965,128,125,0,136,0,0
1654431127.621357,126,126,0,136,0,0
1654431127.6574001,126,126,0,137,0,0
1654431127.6934102,126,126,0,136,0,0
1654431127.7296135,126,126,0,135,0,0
1654431127.765389,126,125,0,135,0,0
1654431127.8013952,126,126,0,136,0,0
1654431127.8375216,126,126,0,137,0,0
1654431127.8733957,126,127,0,136,0,0
1654431127.9095085,127,126,0,136,0,0
1654431127.9454718,127,126,0,135,0,0
1654431127.981398,127,125,0,136,0,0
1654431128.0174139,126,125,0,136,0,0
1654431128.0534365,126,126,0,136,0,0
1654431128.0894125,126,126,0,135,0,0
1654431128.125514,126,126,0,135,0,0
1654431128.1655369,127,126,0,135,0,0
1654431128.2014928,126,125,0,136,0,0
1654431128.2414863,126,126,0,135,0,0
1654431128.2774687,126,126,0,137,0,0
1654431128.3136857,125,126,0,136,0,0
1654431128.3496232,127,126,0,136,0,0
1654431128.385535,126,126,0,135,0,0
1654431128.4216044,126,125,0,135,0,0
1654431128.457532,127,125,0,136,0,0
1654431128.4934325,125,126,0,136,0,0
1654431128.5296166,126,126,0,136,0,0
1654431128.565606,126,126,0,135,0,0
1654431128.6015928,125,126,0,135,0,0
1654431128.6375237,127,125,0,136,0,0
1654431128.6776083,126,125,0,135,0,0
1654431128.7135499,126,125,0,136,0,0
1654431128.7494683,126,126,0,136,0,0
1654431128.785507,127,126,0,136,0,0
1654431128.821568,127,126,0,135,0,0
1654431128.8576322,127,125,0,135,0,0
1654431128.8936276,126,126,0,135,0,0
1654431128.9336407,126,125,0,136,0,0
1654431128.9775755,126,125,0,136,0,0
1654431129.0136313,126,126,0,135,0,0
1654431129.0496578,126,127,0,136,0,0
1654431129.0856938,127,126,0,135,0,0
1654431129.1215644,126,126,0,136,0,0
1654431129.1576443,126,125,0,136,0,0
1654431129.193628,125,126,0,136,0,0
1654431129.229571,127,126,0,135,0,0
1654431129.2654946,127,126,0,136,0,0
1654431129.3016086,127,126,0,136,0,0
1654431129.3377373,126,126,0,136,0,0
1654431129.3736377,126,126,0,135,0,0
1654431129.4096718,126,126,0,135,0,0
1654431129.458358,126,126,0,137,0,0
1654431129.4937565,126,126,0,136,0,0
1654431129.5295913,127,126,0,135,0,0
